"EMS Payment - Settings","EMS Payment - Settings"
"API Key","API Key"
"EMS Payment - iDEAL","EMS Payment - iDEAL"
"EMS Payment - Cashondelivery","EMS Payment - Cash on Delivery"
"EMS Payment - Banktransfer","EMS Payment - Bank transfer"
"EMS Payment - Mastercard, VISA, Maestro of V PAY","EMS Payment - Mastercard, VISA, Maestro of V PAY"
"Enabled","Enabled"
"Description","Description"
"EMS Payment - Payconiq","EMS Payment - Payconiq"

"Choose your bank:","Choose your bank:"

"Payment is pending","Payment is pending"
"Payment is completed","Payment is completed"
"Payment is cancelled","Payment is cancelled"
"Payment failed with an error","Payment failed with an error"
"Amounts don't match. Possible fraud","Amounts don't match. Possible fraud"

"Your order at %s","Your order at %s"
"Your order %s at %s","Your order %s at %s"
"Your order has been received.","Your order has been received."
"Thank you for your purchase!","Thank you for your purchase!"
"Payment instructions:","Payment instructions:"
"Please use the following data to make the banktransfer","Please use the following data to make the bank transfer"
"EMS processes the payments for","EMS processes the payments for"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","Do not forget to use the reference in your bank transfer. Without the reference the processing of your payment can take more time!"

"An error occurred in the process of payment","There was an error processing your order. We apologize for the inconvenience.Please try again."
"Unfortunately, we can not currently accept your purchase with Klarna. Please choose another payment option to complete your order. We apologize for the inconvenience","There was an error processing your order. We apologize for the inconvenience.Please try again."

"Amount:","Amount:"
"Reference:","Reference:"
"Account number:","Account number:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Account holder:"
"City:","City:"

"Test API Key","Test API Key"
"Product","EMS Payment Product"
"Webhook URL","Webhook URL"
"Bundle CA.cert file","Bundle cURL ca.cert"
"Include Webhook URL with every order creation","Automatically provide webhook URL with each generated order to the EMS Payment API."
"Used for testing Klarna payment method.","The Test API Key is Applicable only for testing Klarna. Remove when not used."
"Resolves issue when curl.cacert path is not set in PHP.ini","Resolves issue when curl.cacert path is not set in PHP.ini"
"Yes","Yes"
"No","No"
"Title","Title"
"Payment from Specific Countries","Allow payment from specific countries using this payment method"
"Send order mail","Send an order confirmation email to the shopper"
"Generate invoice upon succesfull transaction","Generate invoice upon successful transaction"
"Sort order","Sort order"
"IP Filtering","IP address(es) for testing."
"Example Klarna: 127.0.0.1, 255.255.255.255","You can limit the availability of Klarna to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses."
"Example Afterpay: 127.0.0.1, 255.255.255.255","You can limit the availability of AfterPay to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses."
"Unfortunately, you cannot use AfterPay as Afterpay is only available for addresses in the Netherlands and Belgium. Please use the correct address or select another payment method.","Unfortunately, you cannot use AfterPay as Afterpay is only available for addresses in the Netherlands and Belgium. Please use the correct address or select another payment method."
"I accept AfterPay","I accept AfterPay"
"Terms & Conditions", "Terms & Conditions"
